repeat_i,track,frame,fileName,pairIndex,firstPolygonId,secondPolygonId,is_real_division,divided_how_many_hours_ago,areaRatio,areaMean,areaMin,areaMax,areaDiff,perimeterRatio,perimeterMean,perimeterMin,perimeterMax,perimeterDiff,aspectRatio,aspectMean,aspectMin,aspectMax,aspectDiff,circularityRatio,circularityMean,circularityMin,circularityMax,circularityDiff,solidityRatio,solidityMean,solidityMin,solidityMax,solidityDiff,vertexCountRatio,vertexCountMean,vertexCountMin,vertexCountMax,vertexCountDiff,centroidDistance,centroidDistanceNormalized,unionAspectRatio,unionCircularity,unionConvexDeficiency,normalizedSharedEdgeLength,sharedEdgeLength,sharedEdgeUnsharedVerticesDistance,sharedEdgeUnsharedVerticesDistanceNormalized,centroidSharedEdgeDistance,centroidSharedEdgeDistanceNormalized,sharedEdgeUnionCentroidDistance,sharedEdgeUnionCentroidDistanceNormalized,sharedEdgeUnionAxisAngleDegrees,junctionAngleAverageDegrees,junctionAngleMaxDegrees,junctionAngleMinDegrees,junctionAngleDifferenceDegrees,junctionAngleRatio
2,21,25,sample1_middle_down1,2,2,0,0,-1,0.446116,509.318911,314.242224,704.395597,390.153373,0.723791,89.808278,75.417974,104.198582,28.780608,0.875684,1.079092,1.007572,1.150612,0.143039,0.851573,0.754768,0.694264,0.815273,0.121009,1.000000,1.000000,1.000000,1.000000,0.000000,0.666667,5.000000,4.000000,6.000000,2.000000,17.812976,0.804791,1.213552,0.820612,0.034944,1.236155,27.360637,17.152834,0.774966,8.846608,0.399690,5.072461,0.229174,45.915841,171.157118,171.241609,171.072628,0.168981,0.999013
2,22,25,sample1_middle_down1,3,1,0,0,-1,0.695461,858.621357,704.395597,1012.847117,308.451520,0.847915,113.543318,104.198582,122.888053,18.689471,0.899096,1.092561,1.034510,1.150612,0.116102,0.967316,0.829046,0.815273,0.842819,0.027547,0.999877,0.999939,0.999877,1.000000,0.000123,0.857143,6.500000,6.000000,7.000000,1.000000,31.181655,1.068492,1.698510,0.557480,0.161953,0.519835,15.170280,27.179708,0.931359,15.559414,0.533170,2.704115,0.092661,88.336740,113.799165,165.634533,61.963797,103.670736,0.374100
2,22,26,sample1_middle_down1,1,2,1,0,-1,0.313849,673.816016,321.919273,1025.712759,703.793486,0.613201,99.227213,75.435356,123.019069,47.583713,0.967504,1.039536,1.022367,1.056706,0.034339,0.834673,0.781303,0.710897,0.851708,0.140811,1.000000,1.000000,1.000000,1.000000,0.000000,0.571429,5.500000,4.000000,7.000000,3.000000,26.425589,1.057682,1.330308,0.653020,0.166375,0.748802,18.708398,24.439480,0.978188,12.479067,0.499474,9.795461,0.392063,79.985874,138.361374,152.619427,124.103321,28.516106,0.813155
2,21,26,sample1_middle_down1,2,2,0,0,-1,0.413452,550.266511,321.919273,778.613749,456.694476,0.693650,92.093331,75.435356,108.751306,33.315949,0.949617,1.084738,1.056706,1.112771,0.056065,0.859298,0.769099,0.710897,0.827300,0.116402,1.000000,1.000000,1.000000,1.000000,0.000000,0.666667,5.000000,4.000000,6.000000,2.000000,18.752863,0.818085,1.189916,0.813115,0.055114,1.172863,26.885397,17.810752,0.776986,9.361671,0.408399,5.936519,0.258978,49.643125,163.122024,169.141965,157.102084,12.039881,0.928818
2,22,26,sample1_middle_down1,3,1,0,0,-1,0.759095,902.163254,778.613749,1025.712759,247.099011,0.884020,115.885187,108.751306,123.019069,14.267764,0.918758,1.067569,1.022367,1.112771,0.090404,0.971342,0.839504,0.827300,0.851708,0.024408,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,32.628437,1.088878,1.827688,0.563006,0.164094,0.518759,15.544719,27.797697,0.927666,16.251877,0.542358,2.057008,0.068647,89.302457,112.565430,158.376146,66.754713,91.621432,0.421495
repeat_i,track,frame,fileName,pairIndex,firstPolygonId,secondPolygonId,is_real_division,divided_how_many_hours_ago,areaRatio,areaMean,areaMin,areaMax,areaDiff,perimeterRatio,perimeterMean,perimeterMin,perimeterMax,perimeterDiff,aspectRatio,aspectMean,aspectMin,aspectMax,aspectDiff,circularityRatio,circularityMean,circularityMin,circularityMax,circularityDiff,solidityRatio,solidityMean,solidityMin,solidityMax,solidityDiff,vertexCountRatio,vertexCountMean,vertexCountMin,vertexCountMax,vertexCountDiff,centroidDistance,centroidDistanceNormalized,unionAspectRatio,unionCircularity,unionConvexDeficiency,normalizedSharedEdgeLength,sharedEdgeLength,sharedEdgeUnsharedVerticesDistance,sharedEdgeUnsharedVerticesDistanceNormalized,centroidSharedEdgeDistance,centroidSharedEdgeDistanceNormalized,sharedEdgeUnionCentroidDistance,sharedEdgeUnionCentroidDistanceNormalized,sharedEdgeUnionAxisAngleDegrees,junctionAngleAverageDegrees,junctionAngleMaxDegrees,junctionAngleMinDegrees,junctionAngleDifferenceDegrees,junctionAngleRatio
3,11,19,sample1_lower_right1,1,0,1,0,-1,0.439358,839.854383,512.723917,1166.984848,654.260931,0.714366,111.768523,93.146508,130.390537,37.244030,0.949549,1.068465,1.040815,1.096115,0.055300,0.860949,0.802578,0.742609,0.862547,0.119938,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,23.459624,0.825977,1.259266,0.849701,0.039314,1.160561,32.962588,20.556192,0.723751,11.691446,0.411638,7.355642,0.258981,75.498853,164.256963,171.517305,156.996621,14.520683,0.915340
3,11,20,sample1_lower_right1,1,0,1,0,-1,0.422589,939.699302,558.286816,1321.111789,762.824973,0.696414,116.690079,95.807511,137.572647,41.765136,0.934008,1.089826,1.052639,1.127012,0.074374,0.871330,0.820740,0.764308,0.877173,0.112865,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,25.281230,0.843056,1.289985,0.853492,0.040760,1.117683,33.516632,22.359983,0.745641,12.634164,0.421313,8.428998,0.281083,73.028165,163.130026,168.376527,157.883525,10.493002,0.937681
3,11,21,sample1_lower_right1,1,0,1,0,-1,0.429500,990.823421,595.395420,1386.251422,790.856002,0.702266,120.617694,99.521114,141.714274,42.193160,0.962907,1.138622,1.117105,1.160138,0.043033,0.870884,0.811412,0.755414,0.867411,0.111997,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,25.410482,0.824572,1.216744,0.856397,0.041390,1.147328,35.356703,22.252078,0.722082,12.705180,0.412284,8.280356,0.268698,66.101326,162.145744,169.841476,154.450012,15.391464,0.909377
3,11,22,sample1_lower_right1,1,0,1,0,-1,0.450956,1057.904009,657.591138,1458.216880,800.625743,0.711481,125.010360,103.936310,146.084410,42.148100,0.975912,1.161070,1.146916,1.175225,0.028309,0.890855,0.811806,0.764947,0.858666,0.093719,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,25.820715,0.809045,1.194501,0.851171,0.050762,1.148059,36.640400,22.581659,0.707555,12.910271,0.404520,7.845843,0.245835,61.810594,156.270577,161.579750,150.961404,10.618345,0.934284
