order,feature,feature_type,range_start,range_end,step,op,output_csv,status,error,elapsed_sec
45,junctionAngleAverageDegrees,angle,0.0,180.0,1.0,>=,045_junctionAngleAverageDegrees__ge.csv,ok,,171.794
45,junctionAngleAverageDegrees,angle,0.0,180.0,1.0,<=,045_junctionAngleAverageDegrees__le.csv,ok,,78.558
46,junctionAngleMaxDegrees,angle,0.0,180.0,1.0,>=,046_junctionAngleMaxDegrees__ge.csv,ok,,181.058
46,junctionAngleMaxDegrees,angle,0.0,180.0,1.0,<=,046_junctionAngleMaxDegrees__le.csv,ok,,64.961
47,junctionAngleMinDegrees,angle,0.0,180.0,1.0,>=,047_junctionAngleMinDegrees__ge.csv,ok,,149.588
47,junctionAngleMinDegrees,angle,0.0,180.0,1.0,<=,047_junctionAngleMinDegrees__le.csv,ok,,101.613
48,junctionAngleDifferenceDegrees,angle,0.0,180.0,1.0,>=,048_junctionAngleDifferenceDegrees__ge.csv,ok,,30.184
48,junctionAngleDifferenceDegrees,angle,0.0,180.0,1.0,<=,048_junctionAngleDifferenceDegrees__le.csv,ok,,235.183
49,junctionAngleRatio,ratio,0.0,1.0,0.01,>=,049_junctionAngleRatio__ge.csv,ok,,117.022
49,junctionAngleRatio,ratio,0.0,1.0,0.01,<=,049_junctionAngleRatio__le.csv,ok,,18.885
