feature,operator,threshold,TP,FP,FN,TN,precision,recall,specificity,f1,accuracy,balanced_accuracy,support_pos,support_neg,evaluated_pairs,pred_pos,pred_neg,selected_pairs_raw,selected_pairs_evaluated,skipped_exception,skipped_missing_observed
randomScore,>=,0.3,256,1088,858,5371,0.19047619047619047,0.22980251346499103,0.831552871961604,0.2082994304312449,0.7430344645450944,0.5306776927132975,1114,6459,7573,1344,6229,1344,1344,51,0
randomScore,>=,0.31,254,1085,860,5374,0.1896938013442868,0.22800718132854578,0.8320173401455334,0.20709335507541787,0.7431665126105903,0.5300122607370396,1114,6459,7573,1339,6234,1339,1339,51,0
randomScore,>=,0.32,252,1085,862,5374,0.18848167539267016,0.22621184919210055,0.8320173401455334,0.20563035495716037,0.7429024164795985,0.5291145946688169,1114,6459,7573,1337,6236,1337,1337,51,0
randomScore,>=,0.33,250,1082,864,5377,0.18768768768768768,0.2244165170556553,0.8324818083294627,0.2044153720359771,0.7430344645450944,0.528449162692559,1114,6459,7573,1332,6241,1332,1332,51,0
randomScore,>=,0.34,249,1082,865,5377,0.18707738542449287,0.22351885098743268,0.8324818083294627,0.20368098159509201,0.7429024164795985,0.5280003296584477,1114,6459,7573,1331,6242,1331,1331,51,0
randomScore,>=,0.35,248,1079,866,5380,0.186887716654107,0.22262118491921004,0.8329462765133921,0.20319541171650962,0.7431665126105903,0.5277837307163011,1114,6459,7573,1327,6246,1327,1327,51,0
randomScore,>=,0.36,247,1072,867,5387,0.18726307808946172,0.22172351885098743,0.8340300356092274,0.2030415125359638,0.7439588010035653,0.5278767772301074,1114,6459,7573,1319,6254,1319,1319,51,0
randomScore,>=,0.37,246,1068,868,5391,0.1872146118721461,0.22082585278276481,0.8346493265211333,0.20263591433278416,0.7443549452000529,0.5277375896519491,1114,6459,7573,1314,6259,1314,1314,51,0
randomScore,>=,0.38,246,1065,868,5394,0.18764302059496568,0.22082585278276481,0.8351137947050628,0.20288659793814431,0.7447510893965403,0.5279698237439138,1114,6459,7573,1311,6262,1311,1311,51,0
randomScore,>=,0.39,243,1062,871,5397,0.18620689655172415,0.21813285457809695,0.8355782628889921,0.20090946672178583,0.7447510893965403,0.5268555587335445,1114,6459,7573,1305,6268,1305,1305,51,0
randomScore,>=,0.4,242,1056,872,5403,0.1864406779661017,0.21723518850987433,0.8365071992568509,0.20066334991708126,0.7454113297240196,0.5268711938833626,1114,6459,7573,1298,6275,1298,1298,51,0
randomScore,>=,0.41,245,1046,869,5413,0.18977536793183578,0.2199281867145422,0.8380554265366156,0.20374220374220373,0.7471279545754654,0.5289918066255789,1114,6459,7573,1291,6282,1291,1291,51,0
randomScore,>=,0.42,246,1041,868,5418,0.19114219114219114,0.22082585278276481,0.8388295401764979,0.20491461890878798,0.7479202429684405,0.5298276964796313,1114,6459,7573,1287,6286,1287,1287,51,0
randomScore,>=,0.43,245,1035,869,5424,0.19140625,0.2199281867145422,0.8397584765443568,0.20467836257309943,0.7485804832959198,0.5298433316294495,1114,6459,7573,1280,6293,1280,1280,51,0
randomScore,>=,0.44,249,1023,865,5436,0.1957547169811321,0.22351885098743268,0.8416163492800743,0.2087175188600168,0.7506932523438532,0.5325676001337535,1114,6459,7573,1272,6301,1272,1272,51,0
randomScore,>=,0.45,247,1013,867,5446,0.19603174603174603,0.22172351885098743,0.843164576559839,0.20808761583824767,0.7517496368678199,0.5324440477054132,1114,6459,7573,1260,6313,1260,1260,51,0
randomScore,>=,0.46,247,1007,867,5452,0.19696969696969696,0.22172351885098743,0.8440935129276977,0.20861486486486483,0.7525419252607949,0.5329085158893426,1114,6459,7573,1254,6319,1254,1254,51,0
randomScore,>=,0.47,246,998,868,5461,0.1977491961414791,0.22082585278276481,0.845486917479486,0.20865139949109412,0.7535983097847616,0.5331563851311254,1114,6459,7573,1244,6329,1244,1244,51,0
randomScore,>=,0.48,246,991,868,5468,0.19886822958771222,0.22082585278276481,0.8465706765753213,0.20927264993619737,0.7545226462432325,0.533698264679043,1114,6459,7573,1237,6336,1237,1237,51,0
randomScore,>=,0.49,241,988,873,5471,0.19609438567941415,0.2163375224416517,0.8470351447592507,0.2057191634656423,0.7542585501122409,0.5316863336004511,1114,6459,7573,1229,6344,1229,1229,51,0
randomScore,>=,0.5,240,982,874,5477,0.19639934533551553,0.21543985637342908,0.8479640811271094,0.2054794520547945,0.7549187904397201,0.5317019687502692,1114,6459,7573,1222,6351,1222,1222,51,0
randomScore,>=,0.51,238,972,876,5487,0.19669421487603306,0.21364452423698385,0.8495123084068741,0.20481927710843373,0.7559751749636868,0.5315784163219289,1114,6459,7573,1210,6363,1210,1210,51,0
randomScore,>=,0.52,235,968,879,5491,0.19534497090606817,0.21095152603231598,0.85013159931878,0.20284851100561072,0.7561072230291827,0.530541562675548,1114,6459,7573,1203,6370,1203,1203,51,0
