phase,track,repeat_i,frame,x,time_label,normalized_time_percent,junctionAngleAverageDegrees,occurrence_i,initial_frame,final_frame,normalization_denominator,pairIndex,firstPolygonId,secondPolygonId,fileName,is_real_division,divided_how_many_hours_ago,areaRatio,areaMean,areaMin,areaMax,areaDiff,perimeterRatio,perimeterMean,perimeterMin,perimeterMax,perimeterDiff,aspectRatio,aspectMean,aspectMin,aspectMax,aspectDiff,circularityRatio,circularityMean,circularityMin,circularityMax,circularityDiff,solidityRatio,solidityMean,solidityMin,solidityMax,solidityDiff,vertexCountRatio,vertexCountMean,vertexCountMin,vertexCountMax,vertexCountDiff,centroidDistance,centroidDistanceNormalized,unionAspectRatio,unionCircularity,unionConvexDeficiency,normalizedSharedEdgeLength,sharedEdgeLength,sharedEdgeUnsharedVerticesDistance,sharedEdgeUnsharedVerticesDistanceNormalized,centroidSharedEdgeDistance,centroidSharedEdgeDistanceNormalized,sharedEdgeUnionCentroidDistance,sharedEdgeUnionCentroidDistanceNormalized,sharedEdgeUnionAxisAngleDegrees,junctionAngleMaxDegrees,junctionAngleMinDegrees,junctionAngleDifferenceDegrees,junctionAngleRatio
before_division,,9,13,75.0,before division normalized,75.0,154.693212,,7.0,14.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
before_division,,9,14,87.5,before division normalized,87.5,149.448458,,7.0,14.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
after_division,21.0,1,19,100.0,1 cycle,,172.945798,1.0,,,,3.0,1.0,2.0,sample1_upper_left1,0,-1,0.557211,507.571356,363.244835,651.897877,288.653042,0.777142,89.889707,78.617323,101.162091,22.544768,0.919158,1.114821,1.067861,1.161781,0.093921,0.922612,0.769512,0.738538,0.800486,0.061948,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,17.824907,0.799480,1.106222,0.829574,0.021607,1.250782,27.886979,16.459668,0.738246,8.799968,0.394695,4.226794,0.189579,75.477175,175.832651,170.058945,5.773706,0.967164
after_division,21.0,1,20,120.0,1 cycle + 2h,,176.559987,1.0,,,,2.0,1.0,2.0,sample1_upper_left1,0,-1,0.740418,561.357450,477.631528,645.083371,167.451843,0.864612,95.108485,88.202713,102.014257,13.811543,0.791209,1.158045,1.023058,1.293032,0.269973,0.990456,0.775223,0.771505,0.778940,0.007435,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,18.450458,0.780918,1.044478,0.838219,0.015249,1.279929,30.240415,17.316110,0.732906,9.199894,0.389387,1.918519,0.081202,66.231983,179.766947,173.353027,6.413920,0.964321
after_division,22.0,1,19,100.0,1 cycle,,120.66862,1.0,,,,1.0,0.0,1.0,sample1_upper_left1,0,-1,0.513144,961.148770,651.897877,1270.399662,618.501785,0.754277,117.640019,101.162091,134.117947,32.955856,0.988740,1.168396,1.161781,1.175011,0.013230,0.901939,0.844001,0.800486,0.887517,0.087030,1.000000,1.000000,1.000000,1.000000,0.000000,0.625000,6.500000,5.000000,8.000000,3.000000,33.408618,1.092232,1.146794,0.635771,0.148443,0.659686,20.178130,27.351673,0.894211,16.688692,0.545605,6.371675,0.208310,88.161794,147.170985,94.166254,53.004730,0.639843
after_division,22.0,1,19,100.0,1 cycle,,119.766135,2.0,,,,2.0,0.0,2.0,sample1_upper_left1,0,-1,0.285930,816.822249,363.244835,1270.399662,907.154827,0.586180,106.367635,78.617323,134.117947,55.500624,0.908809,1.121436,1.067861,1.175011,0.107151,0.832140,0.813027,0.738538,0.887517,0.148979,1.000000,1.000000,1.000000,1.000000,0.000000,0.625000,6.500000,5.000000,8.000000,3.000000,32.838880,1.200654,1.637167,0.583632,0.191777,0.460433,12.593229,26.450537,0.967084,15.797685,0.577594,11.815170,0.431986,68.742801,143.757469,95.774801,47.982669,0.666225
after_division,22.0,1,20,120.0,1 cycle + 2h,,115.049038,1.0,,,,3.0,1.0,3.0,sample1_upper_left1,0,-1,0.697031,785.277955,645.083371,925.472538,280.389167,0.842525,111.547919,102.014257,121.081582,19.067325,0.895851,1.225697,1.158363,1.293032,0.134669,0.981944,0.786101,0.778940,0.793263,0.014323,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,28.899076,1.035437,1.129873,0.560020,0.240971,0.633599,17.683770,24.899241,0.892125,14.419693,0.516649,0.260383,0.009329,83.924415,144.564483,85.533594,59.030889,0.591664
after_division,22.0,1,20,120.0,1 cycle + 2h,,119.883181,2.0,,,,4.0,2.0,3.0,sample1_upper_left1,0,-1,0.516095,701.552033,477.631528,925.472538,447.841010,0.728457,104.642147,88.202713,121.081582,32.878869,0.883193,1.090711,1.023058,1.158363,0.135305,0.972572,0.782384,0.771505,0.793263,0.021758,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,28.768372,1.100626,1.618263,0.565001,0.216479,0.624175,16.314794,22.701874,0.868533,13.037677,0.498798,3.852123,0.147375,45.043742,138.652983,101.113379,37.539604,0.729255
after_division,21.0,2,25,100.0,1 cycle,,171.157118,1.0,,,,2.0,2.0,0.0,sample1_middle_down1,0,-1,0.446116,509.318911,314.242224,704.395597,390.153373,0.723791,89.808278,75.417974,104.198582,28.780608,0.875684,1.079092,1.007572,1.150612,0.143039,0.851573,0.754768,0.694264,0.815273,0.121009,1.000000,1.000000,1.000000,1.000000,0.000000,0.666667,5.000000,4.000000,6.000000,2.000000,17.812976,0.804791,1.213552,0.820612,0.034944,1.236155,27.360637,17.152834,0.774966,8.846608,0.399690,5.072461,0.229174,45.915841,171.241609,171.072628,0.168981,0.999013
after_division,21.0,2,26,120.0,1 cycle + 2h,,163.122024,1.0,,,,2.0,2.0,0.0,sample1_middle_down1,0,-1,0.413452,550.266511,321.919273,778.613749,456.694476,0.693650,92.093331,75.435356,108.751306,33.315949,0.949617,1.084738,1.056706,1.112771,0.056065,0.859298,0.769099,0.710897,0.827300,0.116402,1.000000,1.000000,1.000000,1.000000,0.000000,0.666667,5.000000,4.000000,6.000000,2.000000,18.752863,0.818085,1.189916,0.813115,0.055114,1.172863,26.885397,17.810752,0.776986,9.361671,0.408399,5.936519,0.258978,49.643125,169.141965,157.102084,12.039881,0.928818
after_division,22.0,2,25,100.0,1 cycle,,139.679187,1.0,,,,1.0,2.0,1.0,sample1_middle_down1,0,-1,0.310256,663.544671,314.242224,1012.847117,698.604893,0.613713,99.153014,75.417974,122.888053,47.470079,0.973961,1.021041,1.007572,1.034510,0.026938,0.823740,0.768542,0.694264,0.842819,0.148555,0.999877,0.999939,0.999877,1.000000,0.000123,0.571429,5.500000,4.000000,7.000000,3.000000,25.708916,1.037651,1.289908,0.661285,0.158004,0.797186,19.751126,23.596418,0.952387,11.938426,0.481853,9.488383,0.382966,75.573929,152.563779,126.794594,25.769185,0.831092
