genotype,primordium_id,source_file,cell_1_id,cell_2_id,pair_centroid_x,pair_centroid_y,x_norm,y_norm,region,angle,junction_angle_mean
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,62,71,410.2904365,568.891443,0.25791243073064035,0.5770046385636458,apical,74.3343415123156,162.57401
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,63,73,463.6182255,566.8810555,0.38477709266381155,0.5747068840366175,apical,75.36152658292575,172.334673
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,64,69,689.2219265,559.9560690000001,0.9214792097952238,0.5667920322580501,apical,82.39772242201445,169.027308
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,70,76,716.526069,599.747669,0.9864346649639658,0.6122714878543962,apical,85.56300266639333,166.201604
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,74,77,374.95558900000003,616.9806705000001,0.17385225185190123,0.6319677937709973,apical,49.99207424913419,156.036271
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,75,83,655.652775,630.0669805,0.8416195505764457,0.6469246754888729,apical,80.92115975321948,172.402593
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,78,90,473.27245400000004,673.5638485,0.40774411338312344,0.6966390342175024,apical,85.9511844479756,155.604144
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,79,87,531.786784,653.410247,0.5469473474361237,0.6736046544859585,apical,80.68776394366992,170.434394
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,81,92,421.158856,693.4015509999999,0.2837679629300981,0.7193123599943567,apical,89.24438598065771,148.284328
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,82,95,589.50678,725.2718705,0.6842608928997093,0.7557382584387928,apical,88.280587845904,157.195621
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,84,86,311.84308,665.9268185000001,0.023710135177249094,0.6879103586484637,apical,20.50824200949263,171.845174
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,85,89,695.151844,669.7158724999999,0.935586244664588,0.6922410242448497,apical,78.51699099405558,178.077091
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,88,98,643.4448255,732.035163,0.812577330464625,0.7634683034970176,apical,85.40252273557603,169.636937
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,93,102,545.3132745,766.952931,0.5791263234747657,0.8033772561221827,apical,78.30429617266299,156.188382
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,96,97,374.88478,772.5612175,0.17368380009315998,0.8097871973371209,apical,0.684882686501863,162.360367
