junction_threshold_deg,apical_boundary_y,mean_vertical_prop_WT,mean_vertical_prop_rpl4d_3,difference_rpl4d_minus_WT,difference_percentage_points,apical_inferred_divisions_WT,apical_inferred_divisions_rpl4d_3,primordia_WT,primordia_rpl4d_3,p_exact,significant_p_lt_0_05
142.0,0.6,0.5199263798636864,0.7127273762499555,0.19280099638626913,19.280099638626915,170,232,10,10,0.0012015847929160624,True
143.0,0.4,0.5525967436312264,0.6769678037129677,0.12437106008174137,12.437106008174137,274,368,10,10,0.013888588191993765,True
143.0,0.42,0.549813145398445,0.6775597442249295,0.12774659882648454,12.774659882648454,264,357,10,10,0.013801987486198012,True
143.0,0.44,0.5414139958649941,0.6895427024720868,0.14812870660709276,14.812870660709276,258,345,10,10,0.0036155794669726557,True
143.0,0.46,0.5479873099037185,0.685538184229143,0.13755087432542457,13.755087432542457,245,327,10,10,0.009352876225941241,True
143.0,0.48,0.5337073958158423,0.686671311260471,0.15296391544462873,15.296391544462873,232,313,10,10,0.005921323258784559,True
143.0,0.5,0.5401909976306428,0.6914937151423173,0.15130271751167446,15.130271751167445,222,299,10,10,0.008649245491350755,True
143.0,0.52,0.5483031606425437,0.6950496925496925,0.14674653190714881,14.674653190714881,212,290,10,10,0.010835913312693499,True
143.0,0.54,0.5515807654298934,0.6971233004503102,0.1455425350204168,14.55425350204168,200,275,10,10,0.012113273723180844,True
143.0,0.56,0.5441200904358798,0.7022075776951098,0.15808748725922994,15.808748725922994,191,265,10,10,0.00679815540496655,True
143.0,0.58,0.535888845170175,0.7035735948639175,0.16768474969374247,16.768474969374246,178,245,10,10,0.0053908939357855765,True
143.0,0.6,0.5211763162989775,0.71076659193623,0.1895902756372525,18.95902756372525,167,231,10,10,0.0014180865574054428,True
144.0,0.4,0.5550908030263747,0.6793048672368911,0.1242140642105164,12.421406421051639,270,363,10,10,0.018922254216371864,True
144.0,0.42,0.5523412698412697,0.679967707205648,0.1276264373643783,12.762643736437829,260,352,10,10,0.019355257745350626,True
144.0,0.44,0.5438818485031252,0.6925430792309777,0.14866123072785253,14.866123072785253,254,341,10,10,0.005477494641581329,True
144.0,0.46,0.5509821037808654,0.688697440031256,0.13771533625039056,13.771533625039057,241,323,10,10,0.014245816103401242,True
144.0,0.48,0.536840595810138,0.6901973069192957,0.15335671110915772,15.335671110915772,228,309,10,10,0.008443568815085843,True
144.0,0.5,0.5435385546435226,0.6951401453723435,0.15160159072882085,15.160159072882085,218,295,10,10,0.011647794929528676,True
144.0,0.52,0.5546158773000879,0.6990202342031611,0.14440435690307318,14.440435690307318,209,286,10,10,0.015155123514256642,True
144.0,0.54,0.5580768848915303,0.7010017847708678,0.14292489987933754,14.292489987933754,197,271,10,10,0.01662733551278443,True
144.0,0.56,0.5507183810341706,0.7063194198003728,0.15560103876620224,15.560103876620223,188,261,10,10,0.009428651843512525,True
144.0,0.58,0.5431299518895426,0.7079136115723552,0.1647836596828126,16.47836596828126,175,241,10,10,0.007490961051332568,True
144.0,0.6,0.528764308017404,0.7101500516138073,0.18138574359640325,18.138574359640323,164,228,10,10,0.0019160406157310182,True
145.0,0.4,0.5567689087786933,0.6809168551871855,0.12414794640849214,12.414794640849214,264,359,10,10,0.016692286042131244,True
145.0,0.42,0.554044411860004,0.6814642981420114,0.1274198862820074,12.74198862820074,254,348,10,10,0.016605685336335493,True
145.0,0.44,0.5455374563566784,0.6951047178399095,0.14956726148323107,14.956726148323106,248,337,10,10,0.004005282643053541,True
145.0,0.46,0.5528253901241518,0.6912457713630997,0.13842038123894795,13.842038123894795,235,319,10,10,0.011344692459243542,True
145.0,0.48,0.5385497009142752,0.692776696107919,0.1542269951936438,15.42269951936438,222,305,10,10,0.006278551170192037,True
145.0,0.5,0.54491994478951,0.697886512628263,0.15296656783875295,15.296656783875296,212,291,10,10,0.00903894866743164,True
145.0,0.52,0.5563246568246568,0.7017015392015391,0.1453768823768823,14.53768823768823,203,282,10,10,0.012243174781874472,True
145.0,0.54,0.5615628280101964,0.7045195415239186,0.1429567135137222,14.295671351372219,192,267,10,10,0.015133473337807703,True
145.0,0.56,0.5544359347223125,0.7098314567164845,0.15539552199417206,15.539552199417205,183,257,10,10,0.007837363874515578,True
145.0,0.58,0.5464801556073934,0.7135018468664728,0.1670216912590794,16.70216912590794,170,238,10,10,0.006148650111498409,True
145.0,0.6,0.5326041772984498,0.7158995104882662,0.1832953331898164,18.32953331898164,159,225,10,10,0.0016670635865682305,True
146.0,0.4,0.5551560055528869,0.6793619839947957,0.12420597844190884,12.420597844190883,263,352,10,10,0.018251098746454784,True
146.0,0.42,0.5523202739289695,0.6805389832700757,0.12821870934110613,12.821870934110613,253,342,10,10,0.01770984433523133,True
146.0,0.44,0.5436856045048266,0.694293741687931,0.1506081371831044,15.06081371831044,247,331,10,10,0.004449111260256771,True
146.0,0.46,0.5508310881298497,0.6902810762390004,0.13944998810915066,13.944998810915067,234,313,10,10,0.012806079369546862,True
146.0,0.48,0.5365553989199732,0.6917112695428794,0.15515587062290626,15.515587062290626,221,299,10,10,0.007274459286843188,True
146.0,0.5,0.5425866114561766,0.6972160659388921,0.15462945448271548,15.462945448271547,211,285,10,10,0.009980731342960444,True
146.0,0.52,0.5539695843608887,0.7024939307755804,0.1485243464146917,14.85243464146917,202,277,10,10,0.011875121782242525,True
146.0,0.54,0.559181875629244,0.7051064898172923,0.14592461418804825,14.592461418804826,191,262,10,10,0.014559743661910844,True
146.0,0.56,0.5518043557749441,0.7106523047423282,0.15884794896738408,15.884794896738407,182,252,10,10,0.007880664227413453,True
146.0,0.58,0.5435389791368052,0.7147008627589388,0.1711618836221337,17.116188362213368,169,233,10,10,0.005499144818030267,True
146.0,0.6,0.529295353769038,0.7154523647993241,0.18615701103028603,18.615701103028602,158,222,10,10,0.0020026413215267704,True
