file_name,first_cell_id,second_cell_id,divided
357um_oxalis,662,660,1
357um_oxalis,281,318,1
357um_oxalis,187,195,1
357um_oxalis,600,639,1
357um_oxalis,71,68,1
357um_oxalis,546,555,1
357um_oxalis,808,809,1
357um_oxalis,1056,1050,1
357um_oxalis,440,478,1
357um_oxalis,586,595,1
357um_oxalis,774,772,1
357um_oxalis,98,128,1
357um_oxalis,666,687,1
357um_oxalis,431,479,1
357um_oxalis,178,200,1
357um_oxalis,618,630,1
357um_oxalis,594,596,1
357um_oxalis,366,393,1
357um_oxalis,153,176,1
357um_oxalis,530,516,1
357um_oxalis,300,317,1
357um_oxalis,216,226,1
357um_oxalis,1146,1144,1
357um_oxalis,181,175,1
357um_oxalis,722,752,1
357um_oxalis,865,875,1
357um_oxalis,826,815,1
357um_oxalis,72,95,1
357um_oxalis,25,20,1
357um_oxalis,343,374,1
357um_oxalis,952,958,1
357um_oxalis,395,377,1
357um_oxalis,380,390,1
357um_oxalis,503,512,1
357um_oxalis,493,504,1
357um_oxalis,789,798,1
357um_oxalis,539,575,1
357um_oxalis,1102,1111,1
357um_oxalis,601,598,1
357um_oxalis,1059,1045,1
357um_oxalis,830,831,1
357um_oxalis,908,942,1
357um_oxalis,609,608,1
357um_oxalis,211,249,1
357um_oxalis,290,332,1
357um_oxalis,964,967,1
357um_oxalis,232,222,1
357um_oxalis,528,545,1
357um_oxalis,674,669,1
357um_oxalis,485,523,1
357um_oxalis,794,813,1
357um_oxalis,637,642,1
357um_oxalis,665,676,1
357um_oxalis,405,414,1
357um_oxalis,1130,1129,1
357um_oxalis,632,671,1
357um_oxalis,130,139,1
357um_oxalis,580,597,1
357um_oxalis,590,593,1
357um_oxalis,308,353,1
357um_oxalis,192,214,1
357um_oxalis,932,941,1
357um_oxalis,624,616,1
357um_oxalis,286,278,1
357um_oxalis,500,510,1
357um_oxalis,655,677,1
357um_oxalis,636,654,1
357um_oxalis,961,973,1
357um_oxalis,843,888,1
357um_oxalis,705,720,1
357um_oxalis,362,394,1
357um_oxalis,62,90,1
357um_oxalis,506,547,1
357um_oxalis,150,184,1
357um_oxalis,458,486,1
357um_oxalis,74,103,1
