filename,cell_1_id,cell_2_id,division_timing,observed_division,estimated_division,distance,distance_normalized,area_ratio,area_diff,convex_deficiency,area_min,area_max,area_mean,perimeter_ratio,perimeter_min,perimeter_max,perimeter_mean,perimeter_diff,aspect_ratio,compactness_min,compactness_max,compactness_mean,compactness_diff,elongation_ratio,elongation_min,elongation_max,elongation_mean,elongation_diff,solidity_ratio,solidity_min,solidity_max,solidity_mean,solidity_diff,vertex_count_ratio,vertex_count_min,vertex_count_max,vertex_count_mean,vertex_count_diff,union_aspect_ratio,union_circularity,shared_edge_length,shared_edge_length_normalized,shared_edge_vertex_distance,shared_edge_vertex_distance_normalized,centroid_shared_edge_distance,centroid_shared_edge_distance_normalized,union_centroid_edge_distance,union_centroid_edge_distance_normalized,union_axis_shared_edge_angle,junction_angle_ratio,junction_angle_diff,junction_angle_min,junction_angle_max,junction_angle_mean
sample6_22h.json,7,9,-1,0,0,18.154103,0.645784,0.507594,530.786583,0.223968,547.157861,1077.944444,812.551153,0.742800,110.788380,149.149774,129.969077,38.361394,0.870984,0.560188,0.608921,0.584555,0.048733,0.870984,1.133803,1.301750,1.217776,0.167947,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,1.028329,0.647900,41.200054,1.465582,15.785194,0.561516,8.463461,0.301065,4.609161,0.163959,4.521496,0.682985,47.998885,103.409815,151.408700,127.409258
sample6_22h.json,7,13,-1,0,0,47.325433,1.340127,0.754569,350.611111,0.319569,1077.944444,1428.555556,1253.250000,0.970894,144.808566,149.149774,146.979170,4.341208,0.914414,0.608921,0.856088,0.732505,0.247167,0.914414,1.036765,1.133803,1.085284,0.097038,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,5.000000,7.000000,6.000000,2.000000,1.217778,0.513909,23.194827,0.656814,36.132267,1.023167,21.306556,0.603343,2.391474,0.067720,59.666291,0.910432,13.592159,138.160362,151.752521,144.956441
sample6_22h.json,7,16,-1,0,0,42.252259,1.286606,0.999022,1.055556,0.484482,1077.944444,1079.000000,1078.472222,0.880906,131.386908,149.149774,140.268341,17.762866,0.825285,0.608921,0.785466,0.697193,0.176544,0.825285,1.133803,1.373832,1.253817,0.240029,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.670732,0.490227,22.698507,0.691183,30.187066,0.919214,16.085398,0.489810,1.135162,0.034566,35.661764,0.709381,40.910288,99.859391,140.769679,120.314535
sample6_22h.json,8,11,-1,0,0,39.174220,0.813617,0.797385,524.333333,0.237638,2063.500000,2587.833333,2325.666667,0.842396,175.439497,208.262516,191.851007,32.823020,0.902988,0.749763,0.842480,0.796121,0.092717,0.902988,1.019324,1.128834,1.074079,0.109511,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.000000,7.000000,6.500000,1.000000,1.126923,0.684352,45.726239,0.949697,33.250323,0.690582,19.566404,0.406378,1.425666,0.029610,0.443668,0.723909,36.074746,94.587771,130.662517,112.625144
sample6_22h.json,8,12,-1,0,0,66.367957,1.402496,0.851877,358.798199,0.564202,2063.500000,2422.298199,2242.899099,0.900987,175.439497,194.719336,185.079417,19.279840,0.969201,0.802822,0.842480,0.822651,0.039658,0.969201,1.128834,1.164706,1.146770,0.035872,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,1.298507,0.445789,7.280110,0.153844,53.492816,1.130417,34.173507,0.722159,4.678733,0.098872,71.185666,0.432554,84.950186,64.756001,149.706187,107.231094
sample6_22h.json,8,14,10,1,0,49.428201,1.132248,0.850147,309.222222,0.217957,1754.277778,2063.500000,1908.888889,0.958789,168.209432,175.439497,171.824465,7.230064,0.725679,0.779126,0.842480,0.810803,0.063354,0.725679,1.128834,1.555556,1.342195,0.426721,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,1.286996,0.651333,36.124784,0.827508,39.130529,0.896360,24.019831,0.550220,2.775790,0.063585,74.668509,0.920807,11.694042,135.971022,147.665064,141.818043
sample6_22h.json,9,16,-1,0,0,45.418278,1.615172,0.507097,531.842139,0.453899,547.157861,1079.000000,813.078931,0.843222,110.788380,131.386908,121.087644,20.598528,0.947532,0.560188,0.785466,0.672827,0.225277,0.947532,1.301750,1.373832,1.337791,0.072082,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.311573,0.401261,8.252946,0.293493,35.538947,1.263842,22.465442,0.798920,10.405349,0.370037,77.220631,0.516328,75.806254,80.924540,156.730794,118.827667
sample6_22h.json,9,17,-1,0,0,38.527093,1.610489,0.914997,50.831021,0.830658,547.157861,597.988882,572.573372,0.947260,104.945402,110.788380,107.866891,5.842979,0.827765,0.560188,0.682301,0.621245,0.122113,0.827765,1.301750,1.572609,1.437179,0.270859,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,2.283040,0.370188,9.285592,0.388151,32.228482,1.347198,18.974621,0.793167,0.232569,0.009722,85.954171,0.983493,2.092495,124.674526,126.767021,125.720773
sample6_22h.json,10,13,-1,0,0,30.220886,0.824030,0.884810,164.555556,0.270705,1264.000000,1428.555556,1346.277778,0.937552,144.808566,154.453826,149.631196,9.645260,0.866078,0.665824,0.856088,0.760956,0.190264,0.866078,1.036765,1.197080,1.116922,0.160316,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.000000,7.000000,6.500000,1.000000,1.327485,0.672562,37.483330,1.022054,22.865099,0.623460,14.140735,0.385574,2.634258,0.071828,23.996128,0.947074,5.661574,101.309932,106.971506,104.140719
sample6_22h.json,10,15,-1,0,0,55.853089,1.554561,0.959029,54.000000,0.191066,1264.000000,1318.000000,1291.000000,0.951037,154.453826,162.405723,158.429774,7.951896,0.892088,0.627946,0.665824,0.646885,0.037878,0.892088,1.067901,1.197080,1.132491,0.129179,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,1.283951,0.424603,20.212757,0.562582,39.994428,1.113166,26.055774,0.725211,0.454624,0.012654,65.083414,0.754046,33.750803,103.473158,137.223961,120.348560
