job_index,split_index,split_id,model_name,feature_mode,status,elapsed_seconds,worker_pid,worker_log,summary_json,error
76,9,split_010,lightgbm,all,succeeded,243.4886656999588,3101798,output/all_satisfying_primordia_splits/split_010/models/all/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_010/models/all/lightgbm/training_summary.json,
77,9,split_010,lr,selected4,succeeded,216.19888354092836,3101783,output/all_satisfying_primordia_splits/split_010/models/selected4/lr/worker.log,output/all_satisfying_primordia_splits/split_010/models/selected4/lr/training_summary.json,
78,9,split_010,svm,selected4,succeeded,176.125019909814,3101799,output/all_satisfying_primordia_splits/split_010/models/selected4/svm/worker.log,output/all_satisfying_primordia_splits/split_010/models/selected4/svm/training_summary.json,
79,9,split_010,xgboost,selected4,succeeded,193.45509883202612,3101764,output/all_satisfying_primordia_splits/split_010/models/selected4/xgboost/worker.log,output/all_satisfying_primordia_splits/split_010/models/selected4/xgboost/training_summary.json,
80,9,split_010,lightgbm,selected4,succeeded,201.82578317821026,3101782,output/all_satisfying_primordia_splits/split_010/models/selected4/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_010/models/selected4/lightgbm/training_summary.json,
81,10,split_011,lr,all,succeeded,212.50681771710515,3101774,output/all_satisfying_primordia_splits/split_011/models/all/lr/worker.log,output/all_satisfying_primordia_splits/split_011/models/all/lr/training_summary.json,
82,10,split_011,svm,all,succeeded,172.09786632470787,3101787,output/all_satisfying_primordia_splits/split_011/models/all/svm/worker.log,output/all_satisfying_primordia_splits/split_011/models/all/svm/training_summary.json,
83,10,split_011,xgboost,all,succeeded,207.53529369086027,3101781,output/all_satisfying_primordia_splits/split_011/models/all/xgboost/worker.log,output/all_satisfying_primordia_splits/split_011/models/all/xgboost/training_summary.json,
84,10,split_011,lightgbm,all,succeeded,242.26376770623028,3101769,output/all_satisfying_primordia_splits/split_011/models/all/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_011/models/all/lightgbm/training_summary.json,
85,10,split_011,lr,selected4,succeeded,218.90155057422817,3101775,output/all_satisfying_primordia_splits/split_011/models/selected4/lr/worker.log,output/all_satisfying_primordia_splits/split_011/models/selected4/lr/training_summary.json,
86,10,split_011,svm,selected4,succeeded,170.79395788908005,3101790,output/all_satisfying_primordia_splits/split_011/models/selected4/svm/worker.log,output/all_satisfying_primordia_splits/split_011/models/selected4/svm/training_summary.json,
87,10,split_011,xgboost,selected4,succeeded,195.14873001538217,3101771,output/all_satisfying_primordia_splits/split_011/models/selected4/xgboost/worker.log,output/all_satisfying_primordia_splits/split_011/models/selected4/xgboost/training_summary.json,
88,10,split_011,lightgbm,selected4,succeeded,202.0953293479979,3101788,output/all_satisfying_primordia_splits/split_011/models/selected4/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_011/models/selected4/lightgbm/training_summary.json,
89,11,split_012,lr,all,succeeded,208.17934868112206,3101793,output/all_satisfying_primordia_splits/split_012/models/all/lr/worker.log,output/all_satisfying_primordia_splits/split_012/models/all/lr/training_summary.json,
