filename,cell_1_id,cell_2_id,cell_1_centroid_x,cell_1_centroid_y,cell_2_centroid_x,cell_2_centroid_y,division_timing,observed_division,estimated_division,distance,distance_normalized,area_ratio,area_diff,convex_deficiency,area_min,area_max,area_mean,perimeter_ratio,perimeter_min,perimeter_max,perimeter_mean,perimeter_diff,aspect_ratio,compactness_min,compactness_max,compactness_mean,compactness_diff,elongation_ratio,elongation_min,elongation_max,elongation_mean,elongation_diff,solidity_ratio,solidity_min,solidity_max,solidity_mean,solidity_diff,vertex_count_ratio,vertex_count_min,vertex_count_max,vertex_count_mean,vertex_count_diff,union_aspect_ratio,union_circularity,shared_edge_length,shared_edge_length_normalized,shared_edge_vertex_distance,shared_edge_vertex_distance_normalized,centroid_shared_edge_distance,centroid_shared_edge_distance_normalized,union_centroid_edge_distance,union_centroid_edge_distance_normalized,union_axis_shared_edge_angle,junction_angle_ratio,junction_angle_diff,junction_angle_min,junction_angle_max,junction_angle_mean
4.5d-rpl4d-3-6-polygonal-network.json,7,13,651.066477,187.697518,610.992134,225.227562,-1,0,0,54.904072,1.245061,0.646674,844.332145,0.494937,1545.334522,2389.666667,1967.500594,0.823607,159.758234,193.973856,176.866045,34.215622,0.967258,0.760862,0.798106,0.779484,0.037244,0.967258,1.507576,1.558608,1.533092,0.051033,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.000000,7.000000,6.500000,1.000000,1.064589,0.496683,19.102065,0.433178,42.264223,0.958427,26.833487,0.608504,11.171457,0.253336,79.174686,0.987106,1.172496,89.759060,90.931557,90.345308
4.5d-rpl4d-3-6-polygonal-network.json,7,17,651.066477,187.697518,670.712173,245.910505,-1,0,0,61.438630,1.285059,0.487376,1625.387701,0.464018,1545.334522,3170.722222,2358.028372,0.722923,159.758234,220.989341,190.373788,61.231107,0.718977,0.760862,0.815878,0.788370,0.055016,0.718977,1.120603,1.558608,1.339606,0.438005,0.978819,0.978819,1.000000,0.989410,0.021181,0.857143,6.000000,7.000000,6.500000,1.000000,1.791481,0.458052,10.525102,0.220145,46.105248,0.964344,30.945362,0.647258,4.626622,0.096771,69.869509,0.439462,78.496611,61.541440,140.038051,100.789745
4.5d-rpl4d-3-6-polygonal-network.json,8,9,415.299316,192.178724,475.278598,192.305581,-1,0,0,59.979416,1.108524,0.907636,283.666667,0.387176,2787.500000,3071.166667,2929.333333,0.989009,211.657692,214.009774,212.833733,2.352082,0.935976,0.781910,0.842648,0.812279,0.060738,0.935976,1.075377,1.148936,1.112157,0.073559,0.996544,0.996544,1.000000,0.998272,0.003456,0.857143,6.000000,7.000000,6.500000,1.000000,1.799065,0.566430,32.572995,0.602006,46.406585,0.857675,28.560873,0.527855,4.080784,0.075420,58.641655,0.889113,11.524139,92.402609,103.926749,98.164679
4.5d-rpl4d-3-6-polygonal-network.json,8,14,415.299316,192.178724,434.964853,233.179138,-1,0,0,45.472709,0.965355,0.615247,1072.500000,0.311457,1715.000000,2787.500000,2251.250000,0.765722,162.071051,211.657692,186.864371,49.586642,0.891027,0.781910,0.820471,0.801190,0.038561,0.891027,1.075377,1.206897,1.141137,0.131520,0.996544,0.996544,1.000000,0.998272,0.003456,0.857143,6.000000,7.000000,6.500000,1.000000,1.398230,0.603255,33.737549,0.716225,37.395426,0.793879,22.681519,0.481513,4.895411,0.103926,71.334576,0.705742,34.896117,83.693987,118.590104,101.142046
4.5d-rpl4d-3-6-polygonal-network.json,8,15,415.299316,192.178724,371.346340,233.669757,-1,0,0,60.443113,1.307335,0.564584,1213.722222,0.390966,1573.777778,2787.500000,2180.638889,0.753614,159.508170,211.657692,185.582931,52.149522,0.995059,0.777298,0.781910,0.779604,0.004612,0.995059,1.070064,1.075377,1.072720,0.005313,0.996544,0.996544,1.000000,0.998272,0.003456,0.714286,5.000000,7.000000,6.000000,2.000000,1.032051,0.530019,24.801434,0.536435,45.443761,0.982912,29.990094,0.648661,14.923266,0.322778,82.012102,0.822250,27.688593,128.083662,155.772255,141.927958
4.5d-rpl4d-3-6-polygonal-network.json,8,19,415.299316,192.178724,405.372207,246.469600,-1,0,0,55.191002,1.281300,0.399043,1675.166667,0.566833,1112.333333,2787.500000,1949.916667,0.630455,133.440576,211.657692,172.549134,78.217117,0.950882,0.781910,0.784999,0.783454,0.003089,0.950882,1.022556,1.075377,1.048967,0.052820,0.996544,0.996544,1.000000,0.998272,0.003456,0.714286,5.000000,7.000000,6.000000,2.000000,1.643216,0.490606,14.522014,0.337139,43.197370,1.002859,24.612099,0.571388,9.724907,0.225771,34.512896,0.856196,15.795400,94.044486,109.839885,101.942185
4.5d-rpl4d-3-6-polygonal-network.json,9,12,475.278598,192.305581,522.382430,207.598794,-1,0,0,49.524270,1.090832,0.407645,1819.222222,0.375655,1251.944444,3071.166667,2161.555556,0.640395,137.050845,214.009774,175.530309,76.958929,0.913175,0.837590,0.842648,0.840119,0.005058,0.913175,1.049180,1.148936,1.099058,0.099756,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.593909,0.585750,23.259407,0.512316,41.245733,0.908487,24.551628,0.540779,15.943887,0.351183,70.550590,0.895414,11.362642,97.281669,108.644311,102.962990
4.5d-rpl4d-3-6-polygonal-network.json,9,14,475.278598,192.305581,434.964853,233.179138,-1,0,0,57.409457,1.185770,0.558420,1356.166667,0.457429,1715.000000,3071.166667,2393.083333,0.757307,162.071051,214.009774,188.040412,51.938724,0.951976,0.820471,0.842648,0.831559,0.022177,0.951976,1.148936,1.206897,1.177916,0.057960,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,1.003300,0.584031,27.586228,0.569783,45.111103,0.931752,28.689541,0.592571,14.503040,0.299555,88.773973,0.915966,11.553231,125.929917,137.483147,131.706532
4.5d-rpl4d-3-6-polygonal-network.json,9,16,475.278598,192.305581,487.091985,233.605647,-1,0,0,42.956391,0.865594,0.625658,1149.666667,0.195086,1921.500000,3071.166667,2496.333333,0.841149,180.014025,214.009774,197.011900,33.995749,0.820669,0.745139,0.842648,0.793894,0.097508,0.820669,1.148936,1.400000,1.274468,0.251064,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.219298,0.683636,45.541190,0.917679,34.377585,0.692726,21.443265,0.432093,8.036699,0.161944,45.315168,0.974051,3.107885,116.661671,119.769556,118.215614
4.5d-rpl4d-3-6-polygonal-network.json,10,12,558.152686,199.493705,522.382430,207.598794,-1,0,1,36.677019,0.912685,0.618550,772.055556,0.216664,1251.944444,2024.000000,1637.972222,0.774734,137.050845,176.900463,156.975654,39.849619,0.767558,0.812760,0.837590,0.825175,0.024830,0.767558,1.049180,1.366906,1.208043,0.317726,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.263158,0.732008,38.402836,0.955631,33.843856,0.842183,18.336780,0.456299,6.335689,0.157660,84.960636,0.837400,27.313333,140.664841,167.978174,154.321507
